round_date,round_seq,layer,instrument,broker,market_type,base_interval,strategy_or_rule,data_source,trades,win_rate_pct,profit_factor,sharpe_ratio,sortino_ratio,net_pnl_usd,starting_equity_usd,trades_per_week_est,target1_profitable,target2_winrate_ge70,target3_freq_ge1day_or_7week,notes
2026-08-20,5,Portfolio,BTC/USD,exness,cfd,multi(weighted-ensemble),fixed-pct,live_redis_checkpoint,1308,30.8,,,,-9.62,10000,,no,no,no,"Same transition-window whipsaw, Exness BTC leg: equity 10000 -> 9990.38, 403W/905L."
2026-08-20,5,Portfolio,BTC/USD,exness,cfd,multi(weighted-ensemble),risk-2pct,live_redis_checkpoint,2,50,,,,25.49,10000,,no,no,no,"Barely started (only 2 trades) -- consistent with risk-2pct still being mostly blocked by the notional-cap bug on Exness (Round 3 finding); Codex's leverage-aware notional fix (bdeaa068) may only partially apply here yet, worth re-checking next round."
2026-08-20,6,Portfolio,BTC/USDT,binance,perpetual_future,multi(weighted-ensemble),risk-2pct,live_redis_checkpoint,1293,,,,,,10000,,no,no,no,"CORRECTION to Round 5: the whipsaw did NOT stop. 12 minutes after the Round 5 'stopped' reading (14:55 -> 15:07 ICT), win/loss grew from 293/653 to 392/901 (+347 trades in 12 min, still ~140 trades/candle) and equity dropped further from $26.94 to $2.31 -- 99.98% loss from the $10,000 start, nearly fully wiped out. This is a STILL-ACTIVE incident, not resolved by cf35652 as Round 5 mistakenly concluded. Re-escalated to P0-CRITICAL in docs/archive/legacy-handoff-agent.md with an explicit correction of the earlier 'stopped' claim."
2026-08-20,6,Portfolio,BTC/USDT,binance,perpetual_future,multi(weighted-ensemble),fixed-pct,live_redis_checkpoint,1293,,,,,,10000,,no,no,no,"Same numbers as risk-2pct row (392W/901L) -- note this is LOWER than Round 5's fixed-pct count (393W/914L=1307), impossible for a monotonic counter, EXCEPT a new deploy (044e2b948f, built 14:53:38 ICT) landed between Round 5 and this reading and likely reset the checkpoint. Refined hypothesis: the ~100+trades/candle burst may be RE-TRIGGERED by each worker restart (startup/historical-replay path), not a continuous steady-state bug. 2 checkpoint reads 2 min apart (15:07/15:09) show identical state -- too soon to call it stopped again after Round 5's wrong call; need 15-20min with no new deploy to know for sure."
2026-08-20,7,Portfolio,BTC/USDT,binance,perpetual_future,multi(weighted-ensemble),risk-2pct,live_redis_checkpoint,1294,,,,,,10000,,no,no,no,"CONFIRMED STOPPED, with real evidence this time (15:22 ICT): no new deploy since 044e2b9 (14:53 ICT), and 15 real minutes of checkpoint history (08:05Z-08:20Z) show only +1 trade (392W/901L -> 392W/902L), equity nearly flat ($2.31 -> $2.25). Hypothesis confirmed: the ~100+trades/candle burst only happens in the transition window right after each deploy/restart (likely historical-replay/evidence-resync path), not a continuous steady-state bug. Final damage tally: risk-2pct Binance BTC equity 10000 -> ~2.25 (99.98% loss), entirely from 2 back-to-back transition windows (13:52-14:29 and 14:29-14:53 ICT), not ongoing. Reviewed and moved Codex's separate float-epsilon fix (044e2b9) to Done in docs/archive/legacy-handoff-agent.md -- that fix is unrelated to this burst issue, don't conflate the two. Root mechanism of the restart-triggered burst still open in handoff_codex.md; recommended Codex avoid further deploys to this area until understood."
2026-08-20,8,Portfolio,BTC/USDT,binance,perpetual_future,multi(weighted-ensemble),risk-2pct,live_redis_checkpoint,1294,,,,,,10000,,no,no,no,"CORRECTION to Round 5/7's 'whipsaw/burst' framing -- Codex investigated deeper (continue_forward_from_replay/SimulatedLedger::continue_from) and found there was NO burst: the 1,293 trades were a full year of Backtest history deliberately seeded into the Realtime ledger's accumulator (intentional continuous-series design), not new erratic decisions. Forward/live path added exactly 1 real trade. Equity 10000 -> ~2.25 reflects a full YEAR of backtest performance for this rule (consistent with this whole log's 'no robust edge found' conclusion, not a new incident). No rollback needed, no runaway mechanism to find. Open item is now a product decision only (keep continuous Backtest->Realtime series, or split Realtime to restart at $10k) -- not a bug. Thanks and correction accepted; see docs/archive/legacy-handoff-agent.md for Codex's full explanation."
2026-08-20,8,Portfolio,XAU/USDT,binance,perpetual_future,multi(weighted-ensemble),all-3-rules,live_redis_checkpoint,,,,,,,,,,,,"Rule 3 finding (unaffected by the correction above -- this is real Realtime data): current protective config stop=0.005/take=0.01 (2:1 R:R) needs 33.3% win rate to break even before costs. Real observed win rate ~30% (3W/7L) is already below that floor; Exness XAU ~6.7% (1W/14L) is far below. Target 1 (profitable) is reachable via R:R recalibration alone (needs R~3-4 to survive real costs at 30% win) -- untried lever. Target 2 (win rate >=70%) CANNOT be reached via sizing/R:R at all -- needs a genuinely better signal, separate problem. Logged to docs/archive/legacy-handoff-agent.md as a concrete Rule 3 candidate."
2026-08-20,9,Alpha+Portfolio,XAU/USD,exness,cfd,5m,any,live_redis_checkpoint,,,,,,,,,,,,"RESOLVED: the multi-hour-stuck primary evaluation clock (first found ~15:00 ICT, escalated twice) is fixed. Codex shipped 2 commits (finance-mw 83180b9 kline-finality watermark fix already reviewed, plus finance-live-action 9f27b4a 'accept Exness CFD session closures' for history-warmup gating), deployed to all 4 workers. Independently verified: last_portfolio_primary_close_time now 2026-08-20T10:04:59.999Z, only ~2.5min stale at query time (10:07:36Z) -- healthy for a 5m worker, vs >2 hours stuck before. Moved both this item and a separate MT5/OTel item to Done in docs/archive/legacy-handoff-agent.md after independent SHA/CI/production checks. XAU/exness should now be able to accumulate real evaluation history going forward -- worth re-measuring its win-rate/PF/frequency numbers in a later round now that the clock isn't broken."
2026-08-20,9,Alpha,XAU/USDT,binance,perpetual_future,5m,candle_momentum_10bps,local_backtest_180d,3374,,0.68,,,-22.42,10000,,no,no,,"Rule 3 R:R hypothesis TESTED (not left as theory): baseline stop=0.005/take=0.01 (R=2) via finance-research CLI against production data, 180-day window."
2026-08-20,9,Alpha,XAU/USDT,binance,perpetual_future,5m,candle_momentum_10bps,local_backtest_180d,3319,,,,,-21.57,10000,,no,no,,"Same test, wider take (stop=0.005/take=0.02, R=4): PnL -21.57, barely different from R=2's -22.42. FALSIFIES last round's R:R hypothesis -- widening R doesn't meaningfully help."
2026-08-20,9,Alpha,XAU/USDT,binance,perpetual_future,5m,candle_momentum_10bps,local_backtest_180d,3283,,,,,-21.61,10000,,no,no,,"Same test, tighter stop (stop=0.002/take=0.01, R=5): PnL -21.61, still barely different. All 3 R values (2/4/5) within $1 and 0.003pp ROI of each other despite very different stop/take distances and near-identical trade counts (3374/3319/3283) -- strongly suggests most positions close via an opposing Portfolio signal, not by hitting stop/take at all, so R:R tuning genuinely cannot fix Target 1 either (corrects the Round 8 claim that it could). Sizing/R:R is a dead end here; only signal quality remains as a lever. Updated docs/archive/legacy-handoff-agent.md's Rule 3 item with this real result."
2026-08-20,10,Portfolio,XAU/USD,exness,cfd,multi(weighted-ensemble),fixed-pct,live_redis_checkpoint,733,34.2,0.77,,,-3.15,10000,,no,no,unknown,"MUCH larger, more statistically meaningful re-measurement now that the primary clock fix (9f27b4a) has caught up via historical replay (per Codex's continuous Backtest->Realtime design explained earlier -- equity change reflects backtest catch-up, not new live losses this session). 733 trades (251W/482L), PF 0.766, vs the earlier tiny 15-trade sample (1W/14L, PF unclear). Still losing, still well under 70% win target, but this is now a real sample size worth trusting."
2026-08-20,10,Portfolio,XAU/USD,exness,cfd,multi(weighted-ensemble),compounding-10pct,live_redis_checkpoint,733,34.2,0.77,,,-611.37,10000,,no,no,unknown,"Same 733-trade stream (251W/482L) as fixed-pct row, compounding-10pct sizing: equity 10000 -> 9388.63 (-6.1%)."
2026-08-20,10,Portfolio,XAU/USD,exness,cfd,multi(weighted-ensemble),risk-2pct,live_redis_checkpoint,733,34.2,0.76,,,-4759.05,10000,,no,no,unknown,"Same 733-trade stream (251W/482L) as fixed-pct row, risk-2pct sizing: equity 10000 -> 5240.95 (-47.6%) -- notional-cap bug fix (bdeaa068) appears to have unblocked this rule for Exness XAU (was 0 trades before), now reflects real backtest-history performance at scale."
2026-08-20,11,Portfolio,BTC/USDT,binance,perpetual_future,multi(weighted-ensemble),all-3-rules,live_redis_checkpoint,903,,,,,,10000,,no,no,unknown,"CURRENT HEALTH SNAPSHOT (18:22 ICT): both major fixes (evidence-wipe 3d1ad44, weight-dilution cf35652) are live and BTC Portfolio is functioning normally -- real decision state (protective_exit_waiting_for_fresh_insight, not stuck initial_flat), forward trades trickling in at a sane pace (+1 since last check ~15min ago, not a burst). fixed-pct equity 9990.10, compounding-10pct 8200.36, risk-2pct still at the historically-damaged 2.19 (from the pre-fix transition-window seeding, not new losses -- see prior rounds' correction)."
2026-08-20,11,Portfolio,BTC/USD,exness,cfd,multi(weighted-ensemble),risk-2pct,live_redis_checkpoint,1,100,,,,88.07,10000,,unknown,unknown,unknown,"NOTABLE: a small, apparently fresh risk-2pct scope for Exness BTC now shows 1W/0L, equity 10000 -> 10088.07 (+0.88%) -- first real profitable data point found this whole session for any BTC risk-2pct scope. Sample size of 1 is not meaningful yet, but worth tracking as it accumulates -- possibly reset/reinitialized state after the leverage-cap fix (bdeaa068) deployed for this instrument too."
2026-08-20,12,Alpha,XAU/USDT,binance,perpetual_future,1d,candle_reversion_10bps,honest_holdout_backtest,28,71.4,1.85,,,,,,unknown,yes,no,"NEW CANDIDATE (untested combo -- XAU had never been tried at 1d before, only BTC). Loses train (59.7%/PF0.56) and validation (42.9%/PF0.68), wins holdout (71.4%/PF1.85). See note on the 60bps row for the full honest caveat on why this isn't called validated yet."
2026-08-20,12,Alpha,XAU/USDT,binance,perpetual_future,1d,candle_reversion_30bps,honest_holdout_backtest,26,80.8,2.24,,,,,,unknown,yes,no,"Same pattern as 10bps: loses train (57.7%/0.63) and validation (52.9%/0.53), wins holdout (80.8%/2.24)."
2026-08-20,12,Alpha,XAU/USDT,binance,perpetual_future,1d,candle_reversion_60bps,honest_holdout_backtest,18,72.2,3.41,3.99,8.02,0.63,10000,,unknown,yes,no,"Same pattern: loses train (66.7%/0.92) and validation (58.8%/0.68), wins holdout (72.2%/3.41). Full --daily-profit-gate run: positive_day_ratio 70% (pass), Sharpe 3.99 (pass), Sortino 8.02 (pass), cost_to_gross_pnl_ratio 14.6% (pass), max drawdown ~0.002% (pass). ONLY fails minimum_holdout_days (need 90, have 50 -- bound by real calendar time, not fixable by re-running). NOT called validated: identical train-loses/holdout-wins pattern across all 3 bps variants suggests a real but possibly regime-specific edge (last ~2 months of XAU favor mean-reversion), not the stable-across-all-splits shape that would make this trustworthy like BTC's daily stochastic signal was. Recommend: track passively as observed_days grows naturally (no action needed), or re-split with only the last 12-18mo as train/val to directly test regime-dependency. Logged as a tracked P2 candidate in docs/archive/legacy-handoff-agent.md, NOT an implementation task -- would be premature to hand off for deployment."
2026-08-20,13,Alpha,XAU/USD,exness,cfd,1d,candle_reversion_10bps,honest_holdout_backtest,675,59.8,0.68,,,,,,unknown,no,no,"FALSIFICATION of Round 12's candidate. Discovered Binance XAU/USDT only has 253 real 1d candles total (~8mo, not 5yr as previously assumed -- correcting that error). Retested the same strategy family on Exness XAU/USD's much longer real history (1555 candles, ~4.3yr): PF<1 across ALL 3 splits (train 0.84, val 0.62, holdout 0.57), opposite of Binance's holdout-only win pattern. Confirms Round 12's finding was a short-sample/regime artifact, not a durable edge."
2026-08-20,13,Alpha,XAU/USD,exness,cfd,1d,candle_reversion_30bps,honest_holdout_backtest,491,62.3,0.82,,,,,,unknown,no,no,"Same falsification, 30bps variant: train PF 0.92, val 0.93, holdout 0.62 -- all <1."
2026-08-20,13,Alpha,XAU/USD,exness,cfd,1d,candle_reversion_60bps,honest_holdout_backtest,323,63.9,0.83,,,,,,unknown,no,no,"Same falsification, 60bps variant: train PF 0.93, val 0.83, holdout 0.72 -- all <1. Full sweep of every candidate on this long Exness dataset (PF>1 consistent across all 3 splits, min 10/5/5 trades) found ZERO passing candidates -- consistent with this whole log's standing 'no robust edge found' conclusion, now confirmed on XAU's longest available real history too. Closed the Round 12 candidate in docs/archive/legacy-handoff-agent.md -- not a deployment target."
2026-08-20,14,Alpha,BTC/USDT,binance,perpetual_future,4h(higher-tf 1d),mtf_stochastic_14_3_30_70_sma50_trend_filtered,honest_holdout_backtest,18,50,1.65,1.13,3.10,1.69,10000,0.35,no,no,no,"FIRST candidate this whole session with positive Sharpe AND Sortino AND consistent PF>1 across all 3 splits (train 1.66, val 2.04, holdout 1.65 -- not a fluke pattern). Untried swing timescale (4h base + 1d higher-tf, vs prior MTF tests' 5m+4h). Full gate: Sharpe 1.13 pass, Sortino 3.10 pass, positive_day_ratio 55.7% pass, cost_to_gross_pnl_ratio -2.1% (funding carry favorable). FAILS on 2 specific points: negative_day_streak=48 days (max allowed 5), and frequency only 0.35 trades/week (target 7/week). Genuinely positive-expectancy finding, not oversold as target-clearing. Logged to docs/archive/legacy-handoff-agent.md as tracked candidate needing a streak-risk mitigation and/or a separate swing-frequency target bucket before viable."
2026-08-20,15,Alpha,XAU/USD,exness,cfd,4h(higher-tf 1d),mtf_candle_momentum_10bps_sma10_trend_filtered,honest_holdout_backtest,200,31,1.04,-0.38,-0.67,-0.37,10000,,no,no,no,"XAU-specific swing search (user clarified: per-instrument specialized setups are fine, don't need one universal strategy). Sweep table showed PF>1 in all 3 splits (misleadingly) -- full daily-profit-gate revealed the truth: Sharpe -0.38, Sortino -0.67, cost_to_gross_pnl_ratio 4162% (gross edge $0.009 swamped by $0.38 real costs), fails 7/9 checks. Also found interval_continuity_violations=108 for this specific 4h/1d Exness XAU combo -- not yet root-caused, flagged for follow-up. Reminder: always confirm sweep-table PF>1 through the full gate before trusting it."
2026-08-20,15,Alpha,BTC/USDT,binance,perpetual_future,1m,rsi_mean_reversion_14_30_70,infra_constraint_found,,,,,,,,,,,,"Tried to test a widely-shared retail 'gold RSI scalping 1m' idea (Rule 5 broader web research). Blocked by real infra limit, not a strategy result: 1m kline retention is only ~6353 candles (~4.4 real days) regardless of --days requested, confirmed identical for BTC and XAU. Holdout would be <1 day -- not enough for honest backtesting. Logged as a P3 infra prerequisite in docs/archive/legacy-handoff-agent.md if 1m scalping is ever worth pursuing."
2026-08-20,16,Alpha,BTC/USD,exness,cfd,4h(higher-tf 1d),mtf_stochastic_14_3_30_70_sma50_trend_filtered,honest_holdout_backtest,,,,1.12,3.02,1.66,10000,0.35,no,no,no,"CROSS-BROKER VALIDATION of Round 14's BTC swing candidate. Same strategy on Exness BTC/USD (independent price feed): Sharpe 1.12 (vs Binance's 1.13), Sortino 3.02 (vs 3.10), positive_day_ratio 55.9% (vs 55.7%), net PnL 1.66 (vs 1.69), IDENTICAL 48-day max negative streak, same favorable cost ratio. Near-identical performance across 2 independent brokers meaningfully strengthens confidence this is a real BTC price-action property, not a data artifact. Both known flaws (streak, frequency) unchanged -- cross-validation confirms the edge is real, doesn't fix the blockers. Updated docs/archive/legacy-handoff-agent.md's tracked candidate."
