2026-08-20,20,Data quality,XAU/USD,exness,cfd,5m,opening_range_breakout_london_30m,honest_holdout_backtest_daily_gate,123,48.0,,1.275,0.944,1.854,,1.35,10000,2.37,,,,,,,no,n/a,no,"Re-verified after Codex's continuity fix (commit e9f5287, exempts recognized Exness weekend/daily-rollover session closures from the continuity check). Regression tests pass (11/11 local), but re-running the exact same ORB 30m gate on Exness XAU 5m still shows interval_continuity_violations=95 (down from an unknown pre-fix count, not previously recorded) and still fails holdout_interval_continuity. Confirms the fix correctly handles weekend/rollover patterns (per its own tests) but there are real remaining gaps at this instrument/interval NOT explained by those 2 patterns -- partial fix, not full resolution. Flagged back to Codex."
2026-08-20,20,Security,n/a,n/a,n/a,n/a,n/a,production_kafka_env_audit,,,,,,,,,,,,,,,,n/a,n/a,n/a,"SECURITY INCIDENT during this round's read-only Kafka audit: KAFKA_CLIENT_PASSWORDS (user admin) leaked into tool output due to a redaction regex gap (pattern matched PASSWORD|SECRET|KEY= but not the plural KAFKA_CLIENT_PASSWORDS=). Value not repeated anywhere else. Logged as P0 rotate-immediately in docs/archive/legacy-handoff-agent.md, same handling as the earlier Kibana/ES credential exposure precedent in this program."
2026-08-20,20,Infra task,n/a,n/a,n/a,n/a,n/a,production_kafka_config_audit,,,,,,,,,,,,,,,,n/a,n/a,n/a,"User-directed task, logged for Codex (not implemented by this session): grant finance-research/replay-harness read-only Kafka access, isolated from production. Audit found: (1) an EXTERNAL SASL_PLAINTEXT listener already exists at container port 9094 but its advertised address is stale/mismatched (localhost:19092 vs actual 9094) and the port is not published to the host yet; (2) per explicit user instruction, sequencing is auth-first: rotate the leaked admin credential, create a new scoped read-only Kafka user (not reuse admin), fix the advertised listener, then publish the port with a distinct consumer-group-id (not colliding with any production consumer group) and an isolated Redis instance (not the shared redis-singleton) for checkpoint state. Full spec in docs/archive/legacy-handoff-agent.md Todo."
2026-08-20,21,Data quality,XAU/USD,exness,cfd,5m,opening_range_breakout_london_30m,honest_holdout_backtest_daily_gate,123,48.0,,1.275,0.944,1.854,,1.35,10000,2.37,,,,,,,no,n/a,no,"Re-verified after Codex's 2nd continuity fix (cc49386, covers Exness DST rollover in addition to e9f5287's weekend/rollover fix). interval_continuity_violations dropped 95->32 (-66%), real measurable progress, but still fails holdout_interval_continuity (32 violations remain unexplained). Could not self-root-cause the remainder this round: finance-research --json exposes only a candle count, not raw kline timestamps, and Finance MW's port 8086 is pure gRPC with no parallel REST endpoint to pull raw timestamps for gap analysis."
2026-08-20,21,Data quality,XAU/USD,exness,cfd,4h(higher-tf 1d),mtf_candle_momentum_10bps_sma10_trend_filtered,honest_holdout_backtest_daily_gate,,,,,,,,,,,,,,,,unknown,n/a,unknown,"Re-verified the original Round 15 continuity finding after both fixes: violations dropped 108->57 (-47%), also real progress but still failing. Both fixes work as designed, remaining gaps are a genuinely different, still-unexplained pattern."
2026-08-20,21,Alpha,BTC/USDT,binance,perpetual_future,5m,session_vwap_reversion_london_14_1_5,honest_holdout_backtest,590,64.4,,0.697,,,,-5.58,10000,11.3,,,,,,,no,n/a,yes,"Cross-instrument test of Round 18's XAU candidates on BTC (same params, no changes). PF<1 consistent across all 3 splits, same falsification pattern as the XAU result -- VWAP mean-reversion doesn't work here either."
2026-08-20,21,Alpha,BTC/USDT,binance,perpetual_future,5m,session_vwap_reversion_london_14_2_0,honest_holdout_backtest,389,61.7,,0.743,,,,-3.84,10000,7.45,,,,,,,no,n/a,yes,Same falsification as the 1.5-sigma variant on BTC: PF<1 all 3 splits (0.842/0.791/0.743).
2026-08-20,21,Alpha,BTC/USDT,binance,perpetual_future,5m,opening_range_breakout_london_30m,honest_holdout_backtest,175,46.9,,0.744,,,,-2.73,10000,3.35,,,,,,,no,n/a,yes,"IMPORTANT NEGATIVE RESULT: this exact candidate was Round 18's most promising XAU find (streak=4 days, Sortino pass) but does NOT transfer to BTC -- PF<1 consistent all 3 splits here (0.879/0.669/0.744), no exception. Mechanistically expected: London-session-anchored ORB assumes a real trading session with open-specific liquidity/volatility, true for FX/gold (Exness XAU has real weekly session closes) but not for 24/7 crypto. Confirms ORB/VWAP should stay XAU-only per-instrument scope (Rule 4), not a candidate for BTC."
2026-08-20,21,Alpha,BTC/USDT,binance,perpetual_future,5m,opening_range_breakout_london_60m,honest_holdout_backtest,181,41.4,,0.737,,,,-3.10,10000,3.46,,,,,,,no,n/a,yes,Same negative transfer result as the 30m variant: PF<1 all 3 splits on BTC (0.740/0.619/0.737).
2026-08-20,22,Proposal,BTC/USDT+XAU/USDT,binance,perpetual_future,n/a,funding_rate_extreme_reversion,web_research_not_yet_backtested,,,,,,,,,,,,,,,,unknown,n/a,unknown,"NEW strategy proposal from web research (Rule 2, first WebSearch use in this program's 22 rounds). Funding-rate-extreme mean reversion is a documented crypto-specific signal (BTC >0.10%/8h funding historically precedes reversion, per Kraken/ApeX/QuantJourney/arXiv sources cited in research/quant/rounds/round22-funding-rate-extreme-reversion-proposal.md) -- mechanistically distinct from every OHLCV-based candidate tested so far (momentum/mean-reversion/trend-filter/session), likely low-correlation diversification value. NOT backtestable yet: confirmed by code read that Strategy::evaluate() only receives Kline, no funding data -- FundingSettlement (real, fetched via --actual-funding-broker) exists in the system but isn't wired to the signal layer. Logged as a scoped P2 proposal to Codex (new wrapper strategy, not a full architecture rewrite), applicable only to true perpetual-funding instruments (BTC/binance, XAU/binance), not Exness CFD (swap/rollover mechanism, not funding). No fabricated backtest numbers -- honestly marked unknown until the code exists."
2026-08-20,23,Portfolio,BTC/USDT,binance,perpetual_future,5m,fixed-pct,live_redis_checkpoint,1295,30.3,,0.6327,,,,-9.90,10000,0,,,,,,,no,no(0 new since Round 11),no,"~1h20m re-check: trade_count/win/loss byte-identical to Round 11/17/21 readings (392W/903L) -- STILL zero new trades this whole /loop session so far (rounds 11 through 23, several hours real time). evaluation_count advanced 2555->2580 (+25, actively evaluating, not stalled), reason unchanged protective_exit_waiting_for_fresh_insight. Target 2 confirmed stagnant for this leg across the whole session, not just between 2 rounds."
2026-08-20,23,Portfolio,BTC/USD,exness,cfd,5m,risk-2pct,live_redis_checkpoint,1,100.0,,,,,,88.07,10000,0,,,,,,,unknown,unknown,unknown,"Unchanged since Round 11/17: still exactly 1 trade (1W/0L), equity 10088.07. evaluation_count advanced 4456->4480 (+24)."
2026-08-20,23,Portfolio,BTC/USD,exness,cfd,5m,fixed-pct,live_redis_checkpoint,1310,30.9,,,,,,-9.62,10000,0,,,,,,,unknown,unknown,unknown,"Unchanged since Round 17/21 (also 1310) -- zero new trades this check cycle, though grew earlier in the session (1307/1308 in Round 5-16)."
2026-08-20,23,Portfolio,XAU/USDT,binance,perpetual_future,5m,all-3-rules,live_redis_checkpoint,8,37.5,,,,,,,10000,0,,,,,,,unknown,unknown,unknown,"Unchanged since Round 17: still 8 trades (3W/5L). decisions_since_target_change anomaly refined: grew 69102->69117 (+15) in step with evaluation_count 2558->2582 (+24) -- NOT frozen, just started from a large pre-session base. Strengthens the 'not reset across redeploy' hypothesis over a unit-mismatch bug, still unconfirmed by code, see handoff."
2026-08-20,23,Portfolio,XAU/USD,exness,cfd,5m,fixed-pct,live_redis_checkpoint,734,34.2,,,,,,-3.15,10000,0,,,,,,,no,no(0 new since Round 10),unknown,Unchanged since Round 10/17/21: still 734 trades (251W/483L). Zero Make-Decision growth across the entire session tracked so far for this leg (last real trade recorded Round 10).
2026-08-20,24,Alpha,BTC/USDT,binance,perpetual_future,1h(higher-tf 1d),mtf_stochastic_14_3_30_70_sma50_trend_filtered,honest_holdout_backtest_daily_gate,29,17.2,,1.409,0.570,1.480,,1.01,10000,0.55,,46(days),,,,,no,n/a,no,"3rd timescale test of the same candidate (4h=Round17 best, 5m=Round19, 1h=this round) -- NOT monotonic: 1h gives same frequency as 5m (0.55/wk) but WORSE Sharpe/Sortino than both 4h AND 5m (0.57/1.48 vs 4h's 1.13/3.10 and 5m's 0.71/2.02). Confirms 4h is a real local optimum for this candidate family, not an edge of a monotonic granularity trend -- no more base-interval variants worth testing for this specific candidate."
2026-08-20,24,Alpha,BTC/USDT,binance,perpetual_future,1h(higher-tf 1d),mtf_macd_19_39_9_sma10_trend_filtered,honest_holdout_backtest_daily_gate,35,40.0,,1.347,0.488,1.105,,0.99,10000,0.67,,25(days),,,,,no,n/a,no,"NEW candidate this round, PF rises consistently across splits (1.138/1.265/1.347) but full gate fails (Sharpe 0.49, streak 25 days, positive_day_ratio fail) -- not better than existing candidates."
2026-08-20,24,Alpha,BTC/USDT,binance,perpetual_future,4h(higher-tf 1d),mtf_bollinger_reversion_20_2_sma10_trend_filtered,honest_holdout_backtest,22,31.8,,0.769,,,,-0.79,10000,0.42,,,,,,,no,n/a,no,"NEW candidate tested. PF inconsistent (1.2/0.858/0.769, wins train only) -- not a candidate."
2026-08-20,24,Alpha,BTC/USDT,binance,perpetual_future,4h(higher-tf 1d),mtf_stochastic_14_3_35_65_supertrend10_3_filtered,honest_holdout_backtest,31,48.4,,1.146,,,,0.74,10000,0.59,,,,,,,no,n/a,no,"NEW candidate tested (Supertrend regime filter, untested mechanism). PF 0.748/0.77/1.146 -- loses train+validation, wins holdout only. Same suspicious late-split-only-win shape flagged before (Round 12, Round 18) -- not trusted."
2026-08-20,24,Alpha,XAU/USD,exness,cfd,4h(higher-tf 1d),full_sweep_51_candidates,honest_holdout_backtest,,,,,,,,,,,,,,,,no,n/a,no,"Full sweep (all 51 candidates) run on XAU/exness 4h/1d for the first time -- ZERO candidates pass PF>1 consistently across all 3 splits (vs BTC's 4 candidates found at this exact timescale in Round 17-18). Confirms the 4h/1d swing family has no XAU edge, per-instrument specialization needed (Rule 4) -- BTC's swing findings do not generalize to XAU."
2026-08-20,25,Alpha,BTC/USDT,binance,perpetual_future,5m,candle_momentum_10bps,honest_holdout_backtest,15591,22.7,,0.346,,,,-111.44,10000,,,,,,,no,n/a,yes,"Baseline confirms production live ledger match (matches -113.18 PnL/22.7% win recorded early in this program). Tested 3 alpha-level stop/take configs (none, 0.005/0.01, 0.02/0.04) -- PF completely invariant (0.346 unchanged across all) at BTC. Confirms Round 9/47's XAU finding also holds for BTC: most positions close via opposing signal, not protective level -- sizing/R:R cannot fix this strategy, closed conclusion."
2026-08-20,25,Alpha,BTC/USDT,binance,perpetual_future,5m,rsi_mean_reversion_14_30_70,honest_holdout_backtest,2485,54.4,,0.625,,,,-14.72,10000,,,,,,,no,n/a,yes,Baseline. Tight stop/take (0.005/0.01) roughly doubles trade count (premature exits) and cuts PF to 0.602; wide stop/take (0.02/0.04) reverts close to baseline (0.633). No stop/take config found that pushes PF above 1.0 -- sizing cannot fix this strategy either.
2026-08-20,25,Alpha,XAU/USDT,binance,perpetual_future,5m,candle_momentum_10bps,honest_holdout_backtest,688,23.0,,0.356,,,,,10000,,,,,,,no,n/a,yes,"Same invariance to stop/take confirmed on XAU (0.356->0.344 with tight stop/take, negligible change) -- completes the 4/4 instrument x strategy matrix showing sizing cannot rescue either live strategy on either live instrument."
2026-08-20,25,Alpha,XAU/USDT,binance,perpetual_future,5m,rsi_mean_reversion_14_30_70,honest_holdout_backtest,364,29.7,,0.256,,,,,10000,,,,,,,no,n/a,yes,"Worst PF of the 4-combo matrix, already very low at baseline (0.256). Tight stop/take makes it slightly worse (0.281 -- marginal, still deeply <1). Closes the sizing-tuning question for this instrument/strategy combo too."
2026-08-20,26,Infrastructure,n/a,n/a,n/a,n/a,n/a,production_incident_found_during_research,,,,,,,,,,,,,,,,n/a,n/a,n/a,"P0 PRODUCTION INCIDENT found incidentally while running finance-research backtest (not a strategy result): Finance MW broker service failing Postgres auth (pq: password authentication failed for user postgres), 44 occurrences in 3h with 42/44 concentrated in the last 30 min, still actively occurring (8 in last 2 min at time of writing). Strong time correlation with commit 9d042bb (fix(infra): finish Coolify database ownership, 15:30:44Z) which moved POSTGRES_PASSWORD from hardcoded to env-var-required in docker/psql/postgres.yaml and timescaledb.yaml -- first error appeared 2.5min after this commit. Likely root cause: Coolify env var mismatch between the rotated Postgres credential and what finance-mw still uses. /healthz and /trading still return 200 (not a full outage) but broker create/lookup is failing continuously. Not fixed by this session (out of research scope, needs Coolify env access) -- logged as P0 to docs/archive/legacy-handoff-agent.md with full evidence."
2026-08-20,27,Infrastructure,n/a,n/a,n/a,n/a,n/a,production_incident_still_ongoing,,,,,,,,,,,,,,,,n/a,n/a,n/a,"Re-checked Round 26's P0 Postgres auth incident: STILL ONGOING, 56 errors in the last 15 minutes, unchanged rate (~3.7/min vs ~4/min at first detection), most recent 15:51:18Z, no fix commit yet. SEVERITY UPGRADE: confirmed the incident also blocks finance-research's own candle-loading (tested directly, same auth error), meaning this session's entire backtest pipeline is currently blocked, not just broker CRUD admin operations. Flagged to Codex that live worker reconnect paths may share the same exposure, unverified (declined to bounce production workers just to test). /healthz and /trading still 200."
2026-08-20,27,Proposal,n/a,n/a,n/a,n/a,ict_liquidity_sweep_fvg,web_research_not_recommended,,,,,,,,,,,,,,,,n/a,n/a,n/a,"Deep-dived the ICT liquidity-sweep+FVG idea flagged early in this program (never backtested). Found a real academic/practitioner study: FVG win rate on 5m/15m/1h backtest data drops from ~73% to ~50% when trades are resolved at realistic 1-minute granularity -- the entire apparent edge is attributed to intrabar lookahead bias. This is the SAME class of bug already found and fixed in this program's own MTF kline merge (69-97% inflated win rate corrected to 27-30%). Recommendation: do NOT implement ICT/FVG until (1) 1m kline retention is extended beyond its current ~4.4 days (Round 15's still-open P3 item, now has a much stronger concrete reason) and (2) implemented strictly against the existing NoLookaheadObservation contract. No new Codex task logged -- just updated the risk assessment on the existing backlog idea so nobody implements it blind to this specific risk."
2026-08-20,28,Infrastructure,n/a,n/a,n/a,n/a,n/a,production_incident_still_ongoing,,,,,,,,,,,,,,,,n/a,n/a,n/a,"Re-checked P0 Postgres incident: STILL ongoing (39 errors/10min, latest 16:06:29Z), finance-research still fails identically. Confirmed via file structure that docker/psql/postgres.yaml (primary) and docker/psql/timescaledb.yaml are genuinely separate compose files -- Codex's in-progress fix commits (9d042bb/032bbd3/2c6b0d5) only mention Timescale/PgBouncer credential rotation, not the primary Postgres instance broker_service_server.go connects to. Updated handoff with this distinction to prevent Codex believing this is already resolved."
2026-08-20,28,Candidate queue,n/a,n/a,n/a,n/a,nr7_inside_bar_volatility_breakout,web_research_not_yet_backtested,,,,,,,,,,,,,,,,unknown,n/a,unknown,"Lightweight new candidate idea from Rule 2 web research (backtest pipeline still blocked by the Postgres incident, so not testable this round): NR7 (Narrowest Range of last 7 candles) breakout -- enter on a break of the high/low of the tightest-range bar in a rolling 7-bar window, a volatility-contraction-to-expansion pattern distinct from the already-tested ATR-multiple breakout family (relative N-bar range comparison vs absolute ATR threshold). Web evidence was weaker/less quantified than the funding-rate or FVG research (no specific backtest Sharpe/win-rate numbers found, generic 'requires backtesting' guidance) -- queued as a candidate to test once the backtest pipeline is restored, not a strong lead like funding rate. No Codex implementation task logged yet -- needs a new indicator (rolling N-bar range comparison) not currently in strategies.rs, low priority until validated."
2026-08-20,29,Infrastructure,n/a,n/a,n/a,n/a,n/a,production_incident_escalated,,,,,,,,,,,,,,,,n/a,n/a,n/a,"P0 ESCALATION: the newest finance-mw deploy (image 2c6b0d57, same batch as job-worker/kline-ingest) is now crash-looping on startup entirely -- fatal 'connect trading database: pq: password authentication failed for user postgres' every ~15s, 44 occurrences confirmed since 16:12:47Z (~13min continuous). This is worse than Round 26-28's finding (which only affected one gRPC handler on the OLD running image) -- now blocks the ENTIRE new revision from booting on any replica. Public /healthz and /trading still consistently return 200 (verified 4x in a row, fast responses) -- Coolify/routing appears to be correctly withholding traffic from the unhealthy new revision, so end users are not yet affected, but risk of automatic rollback timeout or an unaware manual cutover remains real. Logged as top-priority P0 update in docs/archive/legacy-handoff-agent.md, ahead of the earlier broker-service-only item."
2026-08-20,30,Infrastructure,n/a,n/a,n/a,n/a,n/a,production_outage_confirmed,,,,,,,,,,,,,,,,n/a,n/a,n/a,"P0 CONFIRMED REAL OUTAGE, correcting Round 29's incorrect 'not yet affecting users' assessment. docker ps shows ZERO running containers for finance-mw, job-worker, kline-ingest, and 3 of 4 live-action worker instances (only exness XAU remains). curl https://finance.thanhne.io.vn/metrics returns a real 502 Bad Gateway from nginx, confirming no backend to proxy to. Root cause of Round 29's false reassurance: /healthz returns nginx's own static {\status\"":\""ok\""} (not proxied to the app", server header shows no upstream), and /trading returns only a small static SPA shell (1048 bytes) -- neither route actually exercises the backend. Real users are affected right now: page shell loads but no real data/trading functionality works. Corrected in docs/archive/legacy-handoff-agent.md as the top-priority item," superseding the crash-loop description from Round 29."""
2026-08-20,31,Infrastructure,n/a,n/a,n/a,n/a,n/a,production_outage_fix_deploying,,,,,,,,,,,,,,,,n/a,n/a,n/a,"Root-cause fix commit e60f7b3 ('fix(runtime): load database credential from Coolify') found, directly targets loadconfig.go/database.go/compose files. CI/CD run 32392470940 confirmed actively progressing (Test Go runtime passed, Publish runtime image done in 11m36s, Deploy runtime + Deploy worker stack in-progress at check time). Direct verification (docker ps, curl /metrics) still shows 0 containers and 502 at time of writing -- deploy not yet complete, not failed. Not force-waited this round per no-long-sleep-loop discipline; next /loop iteration (~15min) will re-verify."
